ticker,catalyst_date,exit_date
AZN,2/28/2017,3/7/2017
NVS,3/13/2017,3/20/2017
MRK,3/14/2017,3/21/2017
AGN,3/20/2017,3/27/2017
PFE,3/23/2017,3/30/2017
AZN,3/31/2017,4/7/2017
PFE,3/31/2017,4/7/2017
MRK,4/21/2017,4/28/2017
REGN,4/25/2017,5/2/2017
SNY,4/25/2017,5/2/2017
BMRN,4/27/2017,5/4/2017
RDUS,4/28/2017,5/5/2017
NVS,4/28/2017,5/5/2017
AZN,5/1/2017,5/8/2017
PFE,5/9/2017,5/16/2017
SNY,5/22/2017,5/29/2017
NVS,5/26/2017,6/2/2017
MRK,5/30/2017,6/6/2017
NVO,5/31/2017,6/7/2017
ADMP,6/15/2017,6/22/2017
JNJ,6/16/2017,6/23/2017
NEOS,6/19/2017,6/26/2017
NVS,6/22/2017,6/29/2017
HALO,6/22/2017,6/29/2017
PTLA,6/23/2017,6/30/2017
BMY,7/6/2017,7/13/2017
AMGN,7/11/2017,7/18/2017
JNJ,7/13/2017,7/20/2017
PBYI,7/17/2017,7/24/2017
GILD,7/18/2017,7/25/2017
GSK,7/21/2017,7/28/2017
BMY,8/1/2017,8/8/2017
AGIO,8/1/2017,8/8/2017
CELG,8/1/2017,8/8/2017
JNJ,8/2/2017,8/9/2017
ENTA,8/3/2017,8/10/2017
ABBV,8/3/2017,8/10/2017
JAZZ,8/3/2017,8/10/2017
PFE,8/17/2017,8/24/2017
AZN,8/17/2017,8/24/2017
IRWD,8/21/2017,8/28/2017
ADMS,8/24/2017,8/31/2017
NVO,8/25/2017,9/1/2017
KMDA,8/25/2017,9/1/2017
NVS,8/30/2017,9/6/2017
PFE,9/1/2017,9/8/2017
NEOS,9/15/2017,9/22/2017
OPTN,9/17/2017,9/24/2017
GSK,9/18/2017,9/25/2017
INVA,9/18/2017,9/25/2017
AGN,10/3/2017,10/10/2017
MYL,10/4/2017,10/11/2017
NBIX,10/5/2017,10/12/2017
FLXN,10/6/2017,10/13/2017
PFE,10/12/2017,10/19/2017
JNJ,10/13/2017,10/20/2017
JNJ,10/20/2017,10/27/2017
AGEN,10/20/2017,10/27/2017
ALXN,10/23/2017,10/30/2017
TSRO,10/26/2017,11/2/2017
JNJ,10/30/2017,11/6/2017
AZN,10/31/2017,11/7/2017
BHC,11/2/2017,11/9/2017
KERX,11/7/2017,11/14/2017
COLL,11/7/2017,11/14/2017
SGEN,11/9/2017,11/16/2017
HRTX,11/9/2017,11/16/2017
MRK,11/9/2017,11/16/2017
BMY,11/10/2017,11/17/2017
AGN,11/13/2017,11/20/2017
AZN,11/14/2017,11/21/2017
RARE,11/15/2017,11/22/2017
PFE,11/16/2017,11/23/2017
TBPH,11/18/2017,11/25/2017
GSK,11/18/2017,11/25/2017
INVA,11/18/2017,11/25/2017
GSK,11/21/2017,11/28/2017
AMGN,12/1/2017,12/8/2017
MYL,12/1/2017,12/8/2017
LLY,12/1/2017,12/8/2017
NVO,12/5/2017,12/12/2017
XENT,12/11/2017,12/18/2017
SNY,12/11/2017,12/18/2017
GSK,12/12/2017,12/19/2017
PFE,12/13/2017,12/20/2017
PFE,12/14/2017,12/21/2017
ACRS,12/15/2017,12/22/2017
ONCE,12/19/2017,12/26/2017
PFE,12/19/2017,12/26/2017
EXEL,12/19/2017,12/26/2017
MRK,12/20/2017,12/27/2017
PFE,12/20/2017,12/27/2017
AEZS,12/20/2017,12/27/2017
BMY,12/20/2017,12/27/2017
LJPC,12/21/2017,12/28/2017
BHC,12/22/2017,12/29/2017
AZN,1/12/2018,1/19/2018
MRK,1/12/2018,1/19/2018
SGYP,1/25/2018,2/1/2018
AMAG,2/5/2018,2/12/2018
GILD,2/7/2018,2/14/2018
GSK,2/10/2018,2/17/2018
VRTX,2/12/2018,2/19/2018
JNJ,2/14/2018,2/21/2018
AMAG,2/14/2018,2/21/2018
ATRS,2/14/2018,2/21/2018
KMPH,2/23/2018,3/2/2018
KMPH,2/23/2018,3/2/2018
LLY,2/26/2018,3/5/2018
SRNE,2/28/2018,3/7/2018
OTIC,3/2/2018,3/9/2018
BMY,3/6/2018,3/13/2018
THERF,3/6/2018,3/13/2018
LLY,3/26/2018,4/2/2018
BMY,4/4/2018,4/11/2018
CLVS,4/6/2018,4/13/2018
PCRX,4/6/2018,4/13/2018
RARE,4/17/2018,4/24/2018
AZN,4/19/2018,4/26/2018
GSK,4/24/2018,5/1/2018
INVA,4/24/2018,5/1/2018
NVS,4/30/2018,5/7/2018
NVS,5/1/2018,5/8/2018
BHC,5/2/2018,5/9/2018
PTLA,5/3/2018,5/10/2018
BHC,5/7/2018,5/14/2018
JNJ,5/7/2018,5/14/2018
NVS,5/11/2018,5/18/2018
AMGN,5/17/2018,5/24/2018
NVS,5/17/2018,5/24/2018
AZN,5/18/2018,5/25/2018
DOVA,5/21/2018,5/28/2018
AMGN,5/21/2018,5/28/2018
BMRN,5/24/2018,5/31/2018
PFE,5/30/2018,6/6/2018
KTOV,5/31/2018,6/7/2018
MYL,6/4/2018,6/11/2018
RHHBY,6/7/2018,6/14/2018
ABBV,6/11/2018,6/18/2018
RHHBY,6/11/2018,6/18/2018
MRK,6/12/2018,6/19/2018
MRK,6/13/2018,6/20/2018
ARRY,6/27/2018,7/4/2018
DERM,6/29/2018,7/6/2018
BMY,7/11/2018,7/18/2018
JNJ,7/18/2018,7/25/2018
AGIO,7/20/2018,7/27/2018
GSK,7/23/2018,7/30/2018
DRRX,7/27/2018,8/3/2018
AZN,2/19/2019,2/26/2019
